gen,mejorfitness,mediapoblacion
949,0.9717,0.4401
950,0.9717,0.6393
951,0.9717,0.5345
952,0.9717,0.5160
953,0.9717,0.5440
954,0.9717,0.4517
955,0.9717,0.4746
956,0.9717,0.4044
957,0.9717,0.5460
958,0.9717,0.4939
959,0.9717,0.4325
960,0.9717,0.4959
961,0.9717,0.6511
962,0.9717,0.4808
963,0.9717,0.7312
964,0.9717,0.5102
965,0.9717,0.4790
966,0.9717,0.4784
967,0.9717,0.6081
968,0.9717,0.5438
969,0.9717,0.6063
970,0.9717,0.6524
971,0.9717,0.6349
972,0.9717,0.3583
973,0.9717,0.6507
974,0.9717,0.5291
975,0.9717,0.7619
976,0.9717,0.5057
977,0.9717,0.6616
978,0.9717,0.5251
979,0.9717,0.4480
980,0.9717,0.5341
981,0.9717,0.3611
982,0.9717,0.6877
983,0.9717,0.5188
984,0.9717,0.5377
985,0.9717,0.6016
986,0.9717,0.3134
987,0.9717,0.3816
988,0.9717,0.4246
989,0.9717,0.5149
990,0.9717,0.6089
991,0.9717,0.5134
992,0.9717,0.5901
993,0.9717,0.5716
994,0.9717,0.6746
995,0.9717,0.5052
996,0.9717,0.5646
997,0.9717,0.6517
998,0.9717,0.8514
999,0.9717,0.5677
1000,0.9717,0.5118
1001,0.9717,0.5193
1002,0.9717,0.8417
1003,0.9717,0.5316
1004,0.9717,0.4984
1005,0.9717,0.6100
1006,0.9717,0.7082
1007,0.9717,0.5741
1008,0.9717,0.6729
1009,0.9717,0.6174
1010,0.9717,0.5529
1011,0.9717,0.5671
1012,0.9717,0.5988
1013,0.9717,0.5526
1014,0.9717,0.3920
1015,0.9717,0.3633
1016,0.9717,0.4045
1017,0.9717,0.5852
1018,0.9717,0.4990
1019,0.9717,0.4939
1020,0.9717,0.4464
1021,0.9717,0.5900
1022,0.9717,0.4951
1023,0.9717,0.5998
1024,0.9717,0.5335
1025,0.9717,0.5936
1026,0.9717,0.5537
1027,0.9717,0.5926
1028,0.9717,0.3914
1029,0.9717,0.5260
1030,0.9717,0.4194
1031,0.9717,0.4960
1032,0.9717,0.5757
1033,0.9717,0.5327
1034,0.9717,0.5312
1035,0.9717,0.7487
1036,0.9717,0.3873
1037,0.9717,0.3666
1038,0.9717,0.3485
1039,0.9717,0.5102
1040,0.9717,0.6034
1041,0.9717,0.5313
1042,0.9717,0.5268
1043,0.9717,0.4192
1044,0.9717,0.4644
1045,0.9717,0.5449
1046,0.9717,0.5923
1047,0.9717,0.5167
1048,0.9717,0.5223
1049,0.9717,0.5667
1050,0.9717,0.4622
1051,0.9717,0.5946
1052,0.9717,0.5971
1053,0.9717,0.5052
1054,0.9717,0.5326
1055,0.9717,0.5050
1056,0.9717,0.4909
1057,0.9717,0.5126
1058,0.9717,0.6246
1059,0.9717,0.4865
1060,0.9717,0.4992
1061,0.9717,0.7287
1062,0.9717,0.4609
1063,0.9717,0.5082
1064,0.9717,0.6195
1065,0.9717,0.5059
1066,0.9717,0.3570
1067,0.9717,0.3969
1068,0.9717,0.5064
1069,0.9717,0.3840
1070,0.9717,0.5492
1071,0.9717,0.2506
1072,0.9717,0.4328
1073,0.9717,0.4526
1074,0.9717,0.4037
