====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 201/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6239
Generación 202/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6271
Generación 203/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5376
Generación 204/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6651
Generación 205/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6907
Generación 206/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6433
Generación 207/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6385
Generación 208/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7812
Generación 209/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6536
Generación 210/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6340
Generación 211/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6474
Generación 212/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4695
Generación 213/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4038
Generación 214/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5961
Generación 215/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5042
Generación 216/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4790
Generación 217/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5327
Generación 218/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4432
Generación 219/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5530
Generación 220/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5556
Generación 221/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5207
Generación 222/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6488
Generación 223/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4328
Generación 224/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6112
Generación 225/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5649
Generación 226/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6085
Generación 227/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5221
Generación 228/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6317
Generación 229/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5366
Generación 230/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6384
Generación 231/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6562
Generación 232/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6604
Generación 233/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5811
Generación 234/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6953
Generación 235/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7016
Generación 236/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6276
Generación 237/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7502
Generación 238/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6314
Generación 239/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4773
Generación 240/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4029
Generación 241/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5541
Generación 242/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5941
Generación 243/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5057
Generación 244/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4669
Generación 245/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7192
Generación 246/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7050
Generación 247/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6878
Generación 248/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7660
Generación 249/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5948
Generación 250/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5357
Generación 251/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5462
Generación 252/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7250
Generación 253/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6455
Generación 254/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6696
Generación 255/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5214
Generación 256/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6561
Generación 257/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6493
Generación 258/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7263
Generación 259/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6257
