====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelA.pkl
Generando dataset exploratorio para blackbox_modelA.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 174/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2651
Generación 175/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2972
Generación 176/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2659
Generación 177/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2846
Generación 178/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2606
Generación 179/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2721
Generación 180/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3610
Generación 181/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3346
Generación 182/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3450
Generación 183/1000 | Mejor Fitness: 0.8926 | Media Población: 0.2953
Generación 184/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3570
Generación 185/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3263
Generación 186/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3266
Generación 187/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3823
Generación 188/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3588
Generación 189/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3326
Generación 190/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3247
Generación 191/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3196
Generación 192/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3178
Generación 193/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3528
Generación 194/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3480
Generación 195/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3905
Generación 196/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3688
Generación 197/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4056
Generación 198/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3829
Generación 199/1000 | Mejor Fitness: 0.8926 | Media Población: 0.4429
Generación 200/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3979
Generación 201/1000 | Mejor Fitness: 0.8926 | Media Población: 0.3421
