gen,mejorfitness,mediapoblacion
900,0.7711,0.4142
901,0.7711,0.3702
902,0.7711,0.4661
903,0.7711,0.5230
904,0.7711,0.5102
905,0.7711,0.5119
906,0.7711,0.5108
907,0.7711,0.3775
908,0.7711,0.4925
909,0.7711,0.3033
910,0.7711,0.3750
911,0.7711,0.4295
912,0.7711,0.4540
913,0.7711,0.5443
914,0.7711,0.4676
915,0.7711,0.4201
916,0.7711,0.3474
917,0.7711,0.4613
918,0.7711,0.4465
919,0.7711,0.5340
920,0.7711,0.4076
921,0.7711,0.4084
922,0.7756,0.5005
923,0.7756,0.4642
924,0.7756,0.3449
925,0.7756,0.4418
926,0.7756,0.4707
927,0.7756,0.3824
928,0.7756,0.4509
929,0.7756,0.4808
930,0.7756,0.4008
931,0.7756,0.4849
932,0.7756,0.4777
933,0.7756,0.4754
934,0.7756,0.5954
935,0.7756,0.4555
936,0.7756,0.4763
937,0.7756,0.4737
938,0.7756,0.4625
939,0.7756,0.3731
940,0.7756,0.3372
941,0.7756,0.3197
942,0.7756,0.4430
943,0.7756,0.4811
944,0.7756,0.2801
945,0.7756,0.3105
946,0.7756,0.5354
947,0.7756,0.5616
948,0.7756,0.4575
949,0.7756,0.5272
950,0.7756,0.5176
951,0.7756,0.4974
952,0.7756,0.4260
953,0.7756,0.3513
954,0.7756,0.3295
955,0.7756,0.4811
956,0.7756,0.5745
957,0.7756,0.4566
958,0.7756,0.4261
959,0.7756,0.3797
960,0.7756,0.3740
961,0.7756,0.4703
962,0.7756,0.4604
963,0.7756,0.4198
964,0.7756,0.5296
965,0.7756,0.4355
966,0.7756,0.4953
967,0.7756,0.3962
968,0.7756,0.4185
969,0.7756,0.3634
970,0.7756,0.4503
971,0.7756,0.3811
972,0.7756,0.3888
973,0.7756,0.4895
974,0.7756,0.5921
975,0.7756,0.5058
976,0.7756,0.4729
977,0.7756,0.5379
978,0.7756,0.5128
979,0.7756,0.4659
980,0.7756,0.5419
981,0.7756,0.4203
982,0.7756,0.2842
983,0.7756,0.3388
984,0.7756,0.4251
985,0.7756,0.4822
986,0.7756,0.3748
987,0.7756,0.3765
988,0.7756,0.4551
989,0.7756,0.4067
990,0.7756,0.4009
991,0.7756,0.3846
992,0.7756,0.4065
993,0.7756,0.4594
994,0.7756,0.3580
995,0.7756,0.4348
996,0.7756,0.5045
997,0.7756,0.4661
998,0.7756,0.3950
999,0.7756,0.4747
1000,0.7756,0.4981
1001,0.7756,0.5672
1002,0.7756,0.5436
1003,0.7756,0.3757
1004,0.7756,0.4024
1005,0.7756,0.3880
1006,0.7756,0.4152
1007,0.7756,0.3346
1008,0.7756,0.3752
1009,0.7756,0.3833
1010,0.7756,0.4519
1011,0.7756,0.5456
1012,0.7756,0.5584
1013,0.7756,0.4787
1014,0.7756,0.4859
1015,0.7756,0.4447
1016,0.7756,0.3312
1017,0.7756,0.3603
1018,0.7756,0.2530
1019,0.7756,0.3538
1020,0.7756,0.4165
1021,0.7756,0.4420
1022,0.7756,0.5014
1023,0.7756,0.3744
1024,0.7756,0.4479
1025,0.7756,0.4371
1026,0.7756,0.4247
1027,0.7756,0.4402
1028,0.7756,0.5415
1029,0.7756,0.6308
1030,0.7756,0.6284
1031,0.7756,0.3899
1032,0.7756,0.5129
1033,0.7756,0.4280
1034,0.7756,0.4400
1035,0.7756,0.5377
1036,0.7756,0.3830
1037,0.7756,0.2702
1038,0.7756,0.2587
1039,0.7756,0.3729
1040,0.7756,0.3416
1041,0.7756,0.4223
1042,0.7756,0.4706
1043,0.7756,0.4431
1044,0.7756,0.4290
1045,0.7756,0.4848
1046,0.7756,0.4352
1047,0.7756,0.4323
1048,0.7756,0.3991
