Generación 231/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4811
Generación 232/2000 | Mejor Fitness: 0.7289 | Media Población: 0.3610
Generación 233/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4074
Generación 234/2000 | Mejor Fitness: 0.7289 | Media Población: 0.4144
Generación 235/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4025
Generación 236/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4017
Generación 237/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3572
Generación 238/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4201
Generación 239/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4483
Generación 240/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4907
Generación 241/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4744
Generación 242/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4883
Generación 243/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4770
Generación 244/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4256
Generación 245/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4287
Generación 246/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3979
Generación 247/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4314
Generación 248/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4431
Generación 249/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4427
Generación 250/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4750
Generación 251/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4244
Generación 252/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4503
Generación 253/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4368
Generación 254/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4436
Generación 255/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3915
Generación 256/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3961
Generación 257/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5085
Generación 258/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3932
Generación 259/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3446
Generación 260/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4624
Generación 261/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3882
Generación 262/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3309
Generación 263/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4362
Generación 264/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4137
Generación 265/2000 | Mejor Fitness: 0.7422 | Media Población: 0.2986
Generación 266/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3434
Generación 267/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4187
Generación 268/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4690
Generación 269/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4573
Generación 270/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4984
Generación 271/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4084
Generación 272/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4887
Generación 273/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4296
Generación 274/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4626
Generación 275/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5035
Generación 276/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4148
Generación 277/2000 | Mejor Fitness: 0.7422 | Media Población: 0.2376
Generación 278/2000 | Mejor Fitness: 0.7422 | Media Población: 0.2763
Generación 279/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3926
Generación 280/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4203
Generación 281/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3194
Generación 282/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4301
Generación 283/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3921
Generación 284/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5084
Generación 285/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5396
Generación 286/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5880
Generación 287/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4651
Generación 288/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5547
Generación 289/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4713
Generación 290/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3226
Generación 291/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3826
Generación 292/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5154
Generación 293/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4368
Generación 294/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4657
Generación 295/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4836
Generación 296/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5149
Generación 297/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3684
Generación 298/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3611
Generación 299/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5416
Generación 300/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4623
Generación 301/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3709
Generación 302/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5236
Generación 303/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4224
Generación 304/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4549
Generación 305/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5144
Generación 306/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4508
Generación 307/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3416
Generación 308/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4446
Generación 309/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3599
Generación 310/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4355
Generación 311/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4668
Generación 312/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4604
Generación 313/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5320
Generación 314/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4047
Generación 315/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4265
Generación 316/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4729
Generación 317/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4562
Generación 318/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4123
Generación 319/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5553
Generación 320/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4942
Generación 321/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4330
Generación 322/2000 | Mejor Fitness: 0.7422 | Media Población: 0.5467
Generación 323/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4687
Generación 324/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3571
Generación 325/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4449
Generación 326/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4572
Generación 327/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4384
Generación 328/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4103
Generación 329/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3767
Generación 330/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4372
Generación 331/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4166
Generación 332/2000 | Mejor Fitness: 0.7422 | Media Población: 0.4555
Generación 333/2000 | Mejor Fitness: 0.7422 | Media Población: 0.3551
Generación 334/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4441
Generación 335/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5190
Generación 336/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5146
Generación 337/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3421
Generación 338/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5307
Generación 339/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3863
Generación 340/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4442
Generación 341/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4656
Generación 342/2000 | Mejor Fitness: 0.7467 | Media Población: 0.2649
Generación 343/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3584
Generación 344/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3869
Generación 345/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4990
Generación 346/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4635
Generación 347/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4040
Generación 348/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3069
Generación 349/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3864
Generación 350/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4340
Generación 351/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3946
